recipe_id,recipe_name,favorite_count,ingredients
52850,Chicken Couscous,143,"chicken, couscous, peanut oil, vegetables, garlic, onion"
52796,Chicken Alfredo Primavera,127,"chicken, pasta, cream, butter, eggs, parmesan, garlic, vegetables"
52795,Spaghetti Carbonara,118,"pasta, eggs, bacon, cream, cheese, black pepper"
52798,Pad Thai with Peanuts,115,"rice noodles, peanuts, shrimp, lime, fish sauce, garlic, chilies"
52799,Almond Crusted Chicken,112,"chicken, almond, bread crumbs, milk, eggs, oil"
52800,Walnut Brownie,108,"chocolate, butter, eggs, flour, walnuts, vanilla"
52801,Grilled Salmon,105,"salmon, olive oil, lemon, garlic, herbs"
52802,Garlic Shrimp,102,"shrimp, garlic, butter, wine, lemon"
52803,Seafood Pasta,100,"pasta, shrimp, clams, mussels, garlic, tomato, olive oil"
52804,Spinach Omelette,98,"eggs, spinach, cheese, butter, milk"
52805,Egg Fried Rice,95,"eggs, rice, soy sauce, garlic, peas, carrots"
52806,Tofu Stir Fry,92,"tofu, soy sauce, garlic, ginger, vegetables, oil"
52807,Teriyaki Chicken,90,"chicken, soy sauce, ginger, garlic, honey, rice vinegar"
52808,Sesame Fish,88,"fish, sesame oil, soy sauce, ginger, lime"
52809,Mushroom Risotto,86,"rice, mushrooms, butter, cheese, wine, onion"
52810,Caesar Salad,84,"lettuce, parmesan, croutons, anchovies, eggs, olive oil"
52811,Crab Cakes,82,"crab, eggs, bread crumbs, butter, lemon"
52812,Turkey Meatballs,80,"turkey, bread crumbs, eggs, milk, parmesan, garlic"
52813,Fish Tacos,78,"fish, tortillas, cabbage, lime, cilantro, olive oil"
52814,Chicken Piccata,76,"chicken, lemon, capers, butter, flour, eggs"
52815,Beef Wellington,74,"beef, mushrooms, pastry, eggs, cream"
52816,Lobster Tail,72,"lobster, butter, lemon, garlic"
52817,Oysters Rockefeller,70,"oysters, spinach, butter, bread crumbs, parmesan"
52818,Mussels Marinara,68,"mussels, tomato, garlic, white wine, pasta"
52819,Shrimp Scampi,66,"shrimp, garlic, butter, white wine, lemon, pasta"
52820,Clam Chowder,64,"clams, cream, milk, butter, potatoes, onion"
52821,Tuna Tartare,62,"tuna, avocado, lime, sesame oil, soy sauce"
52822,Squid Ink Pasta,60,"pasta, squid ink, squid, garlic, olive oil"
